[12/03/2020 18:45:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:12:07] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:12:09] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:12:12] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 18:12:16] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[13/03/2020 18:12:19] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 147422 27393 -2208] 
[13/03/2020 18:14:31] --> GM: Bangsat [268479153], Target: [null], Action: [admin_open], Params: [] 
[13/03/2020 18:14:38] --> GM: Bangsat [268479153], Target: [null], Action: [admin_close], Params: [] 
[13/03/2020 18:14:59] --> GM: Bangsat [268479153], Target: [null], Action: [admin_open], Params: [] 
[13/03/2020 18:15:03] --> GM: Bangsat [268479153], Target: [null], Action: [admin_close], Params: [] 
[13/03/2020 18:15:08] --> GM: Bangsat [268479153], Target: [null], Action: [admin_open], Params: [] 
[13/03/2020 18:15:31] --> GM: Bangsat [268479153], Target: [null], Action: [admin_close], Params: [] 
[13/03/2020 18:16:08] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:16:09] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[13/03/2020 18:16:40] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:16:42] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:16:43] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:16:45] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/oren.htm] 
[13/03/2020 18:16:50] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 62425 30856 -3779] 
[13/03/2020 18:17:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:17:29] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:17:34] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:17:36] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 18:17:38] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[13/03/2020 18:17:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 55024 17368 -5412] 
[13/03/2020 18:18:00] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:18:03] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:18:07] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:18:09] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/oren.htm] 
[13/03/2020 18:18:10] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 54216 23826 -5380] 
[13/03/2020 18:20:42] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:20:44] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:21:06] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 43385 16502 -4392] 
[13/03/2020 18:22:28] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_show_droplist], Params: [ 57] 
[13/03/2020 18:23:37] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_admin], Params: [] 
[13/03/2020 18:23:42] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_list_spawns], Params: [ 1] 
[13/03/2020 18:23:44] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_admin], Params: [] 
[13/03/2020 18:23:46] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_announce_menu], Params: [] 
[13/03/2020 18:24:23] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_add_announcement], Params: [ Welcome to L2 Segara Server] 
[13/03/2020 18:25:17] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_add_announcement], Params: [ For teleport you can click [ALT+B] and information .menu] 
[13/03/2020 18:25:33] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_add_announcement], Params: [ If you see Any Bug please report And thanks.] 
[13/03/2020 18:26:17] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_add_announcement], Params: [ Coming L2 Segara Launcher To Stay Update.... Have A Nice Game and dont forget vote server for Us!] 
[13/03/2020 18:26:19] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_del_announcement], Params: [ 0] 
[13/03/2020 18:26:20] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_del_announcement], Params: [ 0] 
[13/03/2020 18:26:21] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_del_announcement], Params: [ 0] 
[13/03/2020 18:26:23] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_del_announcement], Params: [ 0] 
[13/03/2020 18:26:26] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_announce_menu], Params: [] 
[13/03/2020 18:26:29] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_announce_announcements], Params: [] 
[13/03/2020 18:26:40] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:26:42] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_move_to], Params: [] 
[13/03/2020 18:26:45] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_help], Params: [ tele/others/arenas.htm] 
[13/03/2020 18:26:51] --> GM: Bangsat [268479153], Target: [Orfen], Action: [admin_move_to], Params: [ -87523 -240169 -3331] 
[13/03/2020 18:27:16] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:27:20] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 18:27:24] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 18:27:35] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/others/rune.htm] 
[13/03/2020 18:28:02] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 59425 -47753 -2562] 
[13/03/2020 18:28:21] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:28:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[13/03/2020 18:33:26] --> GM: Bangsat [268479153], Target: [Heroic Lord], Action: [admin_admin], Params: [] 
[13/03/2020 18:33:29] --> GM: Bangsat [268479153], Target: [Heroic Lord], Action: [admin_find_character], Params: [] 
[13/03/2020 19:05:55] --> GM: Bangsat [268479153], Target: [Ashuras of Destruction], Action: [admin_delete], Params: [] 
