[13/03/2020 2:28:45] --> GM: GRAND [268477351], Target: [SinClaire], Action: [admin_admin], Params: [] 
[13/03/2020 15:02:53] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_move_to], Params: [] 
[13/03/2020 15:02:55] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:02:57] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:02:59] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 15:03:01] --> GM: GRAND [268477351], Target: [Ketra's Hero Hekaton], Action: [admin_move_to], Params: [ 115552 -39200 -2480] 
[13/03/2020 15:03:12] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_show_droplist], Params: [ 25309] 
[13/03/2020 15:03:16] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_add_drop], Params: [ 25309] 
[13/03/2020 15:03:32] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_add_drop], Params: [ 25309 9901 2 600 800 800000] 
[13/03/2020 15:03:34] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_show_droplist], Params: [ 25309] 
[13/03/2020 15:03:39] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_admin], Params: [] 
[13/03/2020 15:03:41] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_move_to], Params: [] 
[13/03/2020 15:03:50] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:03:52] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:03:53] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 15:03:55] --> GM: GRAND [268477351], Target: [Varka's Hero Shadith], Action: [admin_move_to], Params: [ 80000 -55000 -6000] 
[13/03/2020 15:04:06] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_show_droplist], Params: [ 25514] 
[13/03/2020 15:04:07] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514] 
[13/03/2020 15:04:20] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_add_drop], Params: [ 25514 9901 2 600 800 800000] 
[13/03/2020 15:04:22] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_show_droplist], Params: [ 25514] 
[13/03/2020 15:04:24] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_admin], Params: [] 
[13/03/2020 15:04:26] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_move_to], Params: [] 
[13/03/2020 15:04:28] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:04:38] --> GM: GRAND [268477351], Target: [Queen Shyeed], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:04:41] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 15:04:47] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_move_to], Params: [ 184542 -106330 -6304] 
[13/03/2020 15:04:57] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_show_droplist], Params: [ 25319] 
[13/03/2020 15:04:59] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319] 
[13/03/2020 15:05:11] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_add_drop], Params: [ 25319 9901 2 600 800 800000] 
[13/03/2020 15:05:13] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_show_droplist], Params: [ 25319] 
[13/03/2020 15:05:25] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_admin], Params: [] 
[13/03/2020 15:05:26] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_move_to], Params: [] 
[13/03/2020 15:05:28] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:05:30] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:05:31] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_help], Params: [ tele/raid/raid_80.htm] 
[13/03/2020 15:05:36] --> GM: GRAND [268477351], Target: [Ember], Action: [admin_move_to], Params: [ 3776 -6768 -32] 
[13/03/2020 15:05:57] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 15:05:58] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_add_drop], Params: [ 25527] 
[13/03/2020 15:06:12] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_add_drop], Params: [ 25527 9901 2 600 800 800000] 
[13/03/2020 15:06:14] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_show_droplist], Params: [ 25527] 
[13/03/2020 15:06:16] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_admin], Params: [] 
[13/03/2020 15:06:19] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_move_to], Params: [] 
[13/03/2020 15:06:21] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:06:23] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:06:25] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_help], Params: [ tele/raid/raid_70.htm] 
[13/03/2020 15:06:28] --> GM: GRAND [268477351], Target: [Uruka], Action: [admin_move_to], Params: [ 116263 15916 6992] 
[13/03/2020 15:06:43] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 15:06:45] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_add_drop], Params: [ 25126] 
[13/03/2020 15:06:56] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_add_drop], Params: [ 25126 9901 2 600 800 800000] 
[13/03/2020 15:06:58] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_show_droplist], Params: [ 25126] 
[13/03/2020 15:07:06] --> GM: GRAND [268477351], Target: [Longhorn Golkonda], Action: [admin_close_window], Params: [] 
[13/03/2020 15:09:25] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_show_droplist], Params: [ 25450] 
[13/03/2020 15:09:27] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450] 
[13/03/2020 15:09:38] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_add_drop], Params: [ 25450 9901 2 600 800 800000] 
[13/03/2020 15:09:40] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_show_droplist], Params: [ 25450] 
[13/03/2020 15:09:41] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_admin], Params: [] 
[13/03/2020 15:09:43] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_move_to], Params: [] 
[13/03/2020 15:09:45] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/other.htm] 
[13/03/2020 15:09:47] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/raid.htm] 
[13/03/2020 15:09:50] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[13/03/2020 15:10:02] --> GM: GRAND [268477351], Target: [Cherub Galaxia], Action: [admin_move_to], Params: [ 185708 114298 -8221] 
[13/03/2020 15:10:28] --> GM: GRAND [268477351], Target: [Antharas], Action: [admin_show_droplist], Params: [ 51] 
[13/03/2020 15:10:33] --> GM: GRAND [268477351], Target: [Antharas], Action: [admin_edit_drop], Params: [ 51 9901 2] 
[13/03/2020 15:14:24] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_invis], Params: [] 
[13/03/2020 15:14:32] --> GM: GRAND [268477351], Target: [Antharas], Action: [admin_admin], Params: [] 
[13/03/2020 15:14:34] --> GM: GRAND [268477351], Target: [Antharas], Action: [admin_move_to], Params: [] 
[13/03/2020 15:14:37] --> GM: GRAND [268477351], Target: [Antharas], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[13/03/2020 15:15:20] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 15:15:22] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_admin2], Params: [] 
[13/03/2020 15:15:23] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 15:15:31] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_character_info], Params: [ Kiyara] 
[13/03/2020 15:15:38] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_find_ip], Params: [ 182.1.78.101] 
[13/03/2020 15:15:40] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 15:15:43] --> GM: GRAND [268477351], Target: [Kiyara], Action: [admin_character_info], Params: [ splitzfire] 
[13/03/2020 15:15:45] --> GM: GRAND [268477351], Target: [splitzfire], Action: [admin_find_ip], Params: [ 182.1.66.218] 
[13/03/2020 15:15:50] --> GM: GRAND [268477351], Target: [splitzfire], Action: [admin_character_list], Params: [ QZRUH] 
[13/03/2020 15:15:53] --> GM: GRAND [268477351], Target: [QZRUH], Action: [admin_find_ip], Params: [ 182.1.66.218] 
[13/03/2020 15:15:55] --> GM: GRAND [268477351], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
